Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Noel Acciari\acciano01,30,FLA,C,6,1,1,2,0,0,0.1,1,0,0,1,1,0,0,7,14.3,78,12:56,5,16,22,23,48.9
2,Calen Addison\addisca01,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,13:47,6,12,0,0,
3,Andrew Agozzino\agozzan01,31,OTT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:52,0,4,1,2,33.3
4,Jack Ahcan\ahcanja01,24,BOS,D,5,1,0,1,-2,0,0.1,0,1,0,0,0,0,0,4,25.0,74,14:48,3,6,0,0,
5,Sebastian Aho\ahose01,24,CAR,F,54,25,34,59,11,34,6.9,13,12,0,5,21,11,2,162,15.4,1039,19:14,20,47,375,354,51.4
6,Sebastian Aho\ahose02,25,NYI,D,24,0,9,9,-8,8,0.9,0,0,0,0,7,2,0,27,0.0,414,17:15,29,17,0,0,
7,Alexander Alexeyev\alexeal01,22,WSH,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,11,10:35,0,1,0,0,
8,Wade Allison\alliswa01,24,PHI,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,8,8:16,0,1,0,0,
9,Michael Amadio\amadimi01,25,TOT,C,37,5,5,10,-3,8,0.7,5,0,0,2,5,0,0,41,12.2,423,11:26,12,24,21,34,38.2
9,Michael Amadio\amadimi01,25,VEG,C,34,5,5,10,-4,8,0.7,5,0,0,2,5,0,0,39,12.8,395,11:38,12,21,21,32,39.6
9,Michael Amadio\amadimi01,25,TOR,C,3,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,27,9:10,0,3,0,2,0.0
10,Joey Anderson\anderjo08,23,TOR,RW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,8,0.0,31,7:47,0,2,0,0,
11,Josh Anderson\anderjo05,27,MTL,RW,46,15,9,24,-20,47,1.9,14,1,0,1,8,1,0,105,14.3,785,17:04,18,104,13,16,44.8
12,Michael Anderson\andermi02,22,LAK,D,55,2,5,7,5,6,2.2,2,0,0,1,5,0,0,56,3.6,1105,20:05,66,127,0,0,
13,Jaret Anderson-Dolan\anderja01,22,LAK,C,6,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,5,0.0,81,13:31,2,11,9,7,56.3
14,Lias Andersson\anderli01,23,LAK,C,13,0,1,1,-2,10,-0.2,0,0,0,0,0,1,0,18,0.0,144,11:07,2,14,11,8,57.9
15,Rasmus Andersson\anderra01,25,CGY,D,57,2,33,35,15,18,5.6,1,1,0,0,21,11,1,103,1.9,1276,22:23,89,35,0,0,
16,Andy Andreoff\andrean01,30,NYI,LW,5,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,49,9:52,1,8,6,3,66.7
17,Anthony Angello\angelan01,25,PIT,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,5,5:19,0,1,0,0,
18,Mason Appleton\applema01,26,SEA,C,46,6,10,16,-5,14,1.0,6,0,0,2,10,0,0,63,9.5,656,14:16,12,35,7,13,35.0
19,Joel Armia\armiajo01,28,MTL,RW,41,2,5,7,-7,12,-0.2,2,0,0,0,4,1,0,62,3.2,545,13:18,20,77,1,12,7.7
20,Viktor Arvidsson\arvidvi01,28,LAK,LW,50,18,20,38,5,22,4.5,14,4,0,3,17,3,0,183,9.8,861,17:13,36,15,10,11,47.6
21,Rasmus Asplund\asplura01,24,BUF,F,57,5,15,20,-11,8,0.8,2,2,1,1,13,2,0,101,5.0,851,14:56,13,15,23,31,42.6
22,Zach Aston-Reese\astonza01,27,PIT,C,51,1,9,10,6,22,0.2,1,0,0,0,9,0,0,50,2.0,657,12:54,32,183,3,2,60.0
23,Andreas Athanasiou\athanan01,27,LAK,C,22,9,5,14,2,2,1.9,9,0,0,3,4,1,0,51,17.6,323,14:41,6,7,7,5,58.3
24,Cam Atkinson\atkinca01,32,PHI,RW,57,21,22,43,8,8,5.0,16,2,3,6,19,3,0,171,12.3,1051,18:26,39,17,4,8,33.3
25,Nicolas Aube-Kubel\aubekni01,25,TOT,RW,53,7,9,16,6,43,1.5,7,0,0,1,9,0,0,63,11.1,511,9:38,12,100,3,8,27.3
25,Nicolas Aube-Kubel\aubekni01,25,COL,RW,46,7,8,15,9,37,1.6,7,0,0,1,8,0,0,54,13.0,442,9:37,11,83,3,8,27.3
25,Nicolas Aube-Kubel\aubekni01,25,PHI,RW,7,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,9,0.0,69,9:49,1,17,0,0,
26,Mikael Backlund\backlmi01,32,CGY,C,57,9,18,27,9,16,2.2,9,0,0,1,14,4,0,146,6.2,986,17:18,19,47,440,433,50.4
27,Nicklas Backstrom\backsni02,34,WSH,C,27,5,15,20,-3,6,1.6,4,1,0,1,7,8,0,48,10.4,481,17:49,10,12,173,207,45.5
28,Brandon Baddock\baddobr01,26,MTL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,8:24,0,6,0,0,
29,Sven Baertschi\baertsv01,29,VEG,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,13:54,0,0,0,0,
30,Kevin Bahl\bahlke01,21,NJD,D,4,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,4,0.0,54,13:35,2,5,0,0,
31,Josh Bailey\bailejo01,32,NYI,C,47,6,21,27,-7,6,1.9,5,1,0,1,15,6,0,50,12.0,801,17:03,18,14,38,62,38.0
32,Justin Bailey\baileju01,26,VAN,RW,14,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,16,0.0,127,9:05,6,12,0,1,0.0
33,Rudolfs Balcers\balceru01,24,SJS,LW,36,6,9,15,-5,14,1.2,6,0,0,1,8,0,1,59,10.2,555,15:25,24,73,7,9,43.8
34,Alexander Barabanov\barabal01,27,SJS,F,49,9,20,29,-2,8,2.6,7,2,0,1,15,5,0,68,13.2,841,17:10,28,33,0,1,0.0
35,Ivan Barbashev\barbaiv01,26,STL,C,56,18,24,42,9,28,4.4,13,4,1,1,19,4,1,86,20.9,943,16:51,23,99,98,162,37.7
36,Riley Barber\barberi01,27,DET,RW,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,12,6:08,1,1,0,0,
37,Aleksander Barkov\barkoal01,26,FLA,C,45,26,33,59,25,8,7.2,13,9,4,3,25,8,0,149,17.4,907,20:09,30,39,518,405,56.1
38,Alex Barre-Boulet\barreal01,24,TOT,F,16,3,3,6,0,4,0.6,3,0,0,0,2,1,0,16,18.8,176,11:00,3,10,6,9,40.0
38,Alex Barre-Boulet\barreal01,24,TBL,F,14,3,2,5,0,4,0.5,3,0,0,0,1,1,0,16,18.8,159,11:20,3,10,6,9,40.0
38,Alex Barre-Boulet\barreal01,24,SEA,F,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,0,,17,8:39,0,0,0,0,
39,Tyson Barrie\barrity01,30,EDM,D,49,3,20,23,-5,18,2.8,1,2,0,0,9,11,0,95,3.2,933,19:02,45,19,0,0,
40,Justin Barron\barroju01,20,COL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,25,12:35,1,1,0,0,
41,Morgan Barron\barromo01,23,NYR,C,13,0,1,1,-1,4,-0.1,0,0,0,0,1,0,0,9,0.0,116,8:54,3,28,25,17,59.5
42,Mathew Barzal\barzama01,24,NYI,C,46,12,25,37,-5,14,3.4,11,1,0,1,16,9,0,115,10.4,849,18:27,10,26,146,166,46.8
43,Nathan Bastian\bastina01,24,TOT,RW,51,10,2,12,-7,61,0.9,7,3,0,1,1,1,0,68,14.7,619,12:08,26,151,18,11,62.1
43,Nathan Bastian\bastina01,24,NJD,RW,39,9,1,10,-6,30,0.8,6,3,0,1,0,1,0,58,15.5,508,13:02,20,135,16,9,64.0
43,Nathan Bastian\bastina01,24,SEA,RW,12,1,1,2,-1,31,0.1,1,0,0,0,1,0,0,10,10.0,111,9:14,6,16,2,2,50.0
44,Drake Batherson\bathedr01,23,OTT,C,31,13,21,34,4,18,3.9,11,2,0,0,12,9,0,74,17.6,588,18:58,12,65,14,12,53.8
45,Gavin Bayreuther\bayrega01,27,CBJ,D,37,0,8,8,-1,22,1.0,0,0,0,0,8,0,0,43,0.0,493,13:19,38,42,0,0,
46,Jay Beagle\beaglja01,36,ARI,RW,21,1,0,1,-11,10,-0.7,1,0,0,0,0,0,0,13,7.7,295,14:02,9,32,190,118,61.7
47,Jake Bean\beanja01,23,CBJ,D,44,4,12,16,-2,22,2.3,4,0,0,2,9,2,1,61,6.6,920,20:55,58,19,0,0,
48,Ethan Bear\bearet01,24,CAR,D,43,3,7,10,8,18,2.6,3,0,0,2,7,0,0,63,4.8,685,15:56,34,41,0,0,
49,Nicolas Beaudin\beaudni01,22,CHI,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,6:10,1,0,0,0,
50,Nathan Beaulieu\beaulna01,29,WPG,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0.0,258,10:46,19,19,0,0,
51,Anthony Beauvillier\beauvan01,24,NYI,LW,52,9,17,26,-8,2,1.9,5,4,0,1,13,4,0,116,7.8,879,16:54,16,26,4,6,40.0
52,Adam Beckman\beckmad01,20,MIN,LW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,4,0.0,31,10:25,1,1,0,0,
53,Pierre-Edouard Bellemare\bellepi01,36,TBL,LW,56,7,9,16,19,17,1.5,6,0,1,1,9,0,0,55,12.7,797,14:14,31,62,337,312,51.9
54,Kieffer Bellows\belloki01,23,NYI,LW,31,4,9,13,2,13,1.2,4,0,0,2,7,2,0,51,7.8,376,12:07,6,67,0,1,0.0
55,Alex Belzile\belzial01,30,MTL,F,11,0,0,0,0,4,-0.2,0,0,0,0,0,0,0,13,0.0,114,10:24,5,17,8,11,42.1
56,Emil Bemstrom\bemstem01,22,CBJ,C,18,2,2,4,-1,4,0.2,2,0,0,1,2,0,0,27,7.4,169,9:24,3,11,0,0,
57,Jamie Benn\bennja01,32,DAL,LW,56,14,17,31,-4,68,2.8,11,2,1,1,10,7,0,130,10.8,958,17:07,43,111,354,284,55.5
58,Jordie Benn\bennjo01,34,MIN,D,29,1,3,4,-4,8,0.1,1,0,0,0,3,0,0,25,4.0,438,15:06,31,35,0,0,
59,Sam Bennett\bennesa01,25,FLA,C,48,24,12,36,16,49,4.6,19,5,0,6,8,3,1,169,14.2,822,17:07,18,88,309,343,47.4
60,Matt Benning\bennima01,27,NSH,D,51,0,10,10,-15,35,0.6,0,0,0,0,10,0,0,49,0.0,868,17:01,57,65,0,0,
61,Simon Benoit\benoisi01,23,ANA,D,39,1,3,4,-7,17,0.7,1,0,0,0,3,0,0,22,4.5,530,13:35,28,125,0,0,
62,Tyler Benson\bensoty01,23,EDM,LW,29,1,1,2,-5,18,-0.3,1,0,0,0,1,0,0,18,5.6,248,8:32,3,45,0,1,0.0
63,Patrice Bergeron\bergepa01,36,BOS,C,54,16,28,44,13,24,4.9,9,7,0,3,13,13,2,211,7.6,992,18:23,35,65,755,458,62.2
64,Jacob Bernard-Docker\bernaja01,21,OTT,D,8,0,1,1,1,4,0.3,0,0,0,0,1,0,0,6,0.0,118,14:46,3,4,0,0,
65,Tyler Bertuzzi\bertuty01,26,DET,LW,50,24,24,48,4,39,5.6,19,4,1,5,17,6,1,126,19.0,990,19:49,28,43,5,9,35.7
66,Alex Biega\biegaal01,33,TOR,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,26,13:07,1,5,0,0,
67,Brandon Biro\birobr01,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,13:30,0,1,0,0,
68,Clark Bishop\bishocl01,25,OTT,C,9,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,8,0.0,75,8:21,3,12,3,3,50.0
69,Anders Bjork\bjorkan01,25,BUF,LW,51,4,2,6,-14,10,-0.4,4,0,0,0,2,0,0,42,9.5,619,12:08,15,10,1,4,20.0
70,Kasper Bjorkqvist\bjorkka01,24,PIT,RW,6,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,8,12.5,50,8:22,2,9,0,0,
71,Oliver Bjorkstrand\bjorkol01,26,CBJ,RW,57,20,21,41,-23,8,3.3,15,5,0,1,13,8,0,146,13.7,1028,18:02,23,66,8,10,44.4
72,Tobias Bjornfot\bjornto01,20,LAK,D,59,0,8,8,-2,4,1.5,0,0,0,0,8,0,0,46,0.0,969,16:26,51,43,0,0,
73,Nick Bjugstad\bjugsni01,29,MIN,C,39,5,5,10,-3,12,0.5,5,0,0,0,5,0,0,57,8.8,380,9:45,12,59,78,70,52.7
74,Colin Blackwell\blackco01,28,SEA,C,36,8,8,16,1,2,1.8,6,0,2,1,8,0,0,57,14.0,441,12:14,15,51,31,33,48.4
75,Sammy Blais\blaissa01,25,NYR,LW,14,0,4,4,3,17,0.2,0,0,0,0,4,0,0,17,0.0,188,13:28,8,37,1,4,20.0
76,Anton Blidh\blidhan01,26,BOS,LW,28,2,7,9,-3,12,0.5,2,0,0,0,7,0,0,22,9.1,296,10:35,16,71,0,3,0.0
77,Teddy Blueger\bluegte01,27,PIT,C,42,8,9,17,7,6,1.6,7,0,1,0,9,0,0,67,11.9,656,15:37,19,56,258,213,54.8
78,Brock Boeser\boesebr01,24,VAN,RW,53,17,17,34,-6,14,3.2,8,9,0,4,10,6,1,149,11.4,989,18:40,19,21,11,14,44.0
79,Zach Bogosian\bogosza01,31,TBL,D,25,2,4,6,3,34,1.3,2,0,0,1,4,0,0,32,6.3,424,16:58,17,61,0,0,
80,Matt Boldy\boldyma01,20,MIN,LW,26,11,12,23,7,6,2.7,8,3,0,2,7,5,0,68,16.2,425,16:22,14,15,9,11,45.0
81,Nick Bonino\boninni01,33,SJS,C,55,7,7,14,-21,14,0.2,5,2,0,0,4,3,0,87,8.0,919,16:43,71,24,383,356,51.8
82,Adam Boqvist\boqviad01,21,CBJ,D,40,10,9,19,-10,10,2.5,8,2,0,1,6,3,0,50,20.0,685,17:08,35,19,0,0,
83,Jesper Boqvist\boqvije01,23,NJD,C,32,5,7,12,-5,4,0.9,5,0,0,0,7,0,0,46,10.9,381,11:54,8,19,80,136,37.0
84,William Borgen\borgewi01,25,SEA,D,16,1,1,2,-6,15,0.1,1,0,0,0,1,0,0,20,5.0,232,14:30,16,37,0,0,
85,Henrik Borgström\borgshe01,24,CHI,C,41,4,3,7,-7,20,0.2,4,0,0,0,2,1,0,37,10.8,456,11:08,15,19,80,115,41.0
86,Mark Borowiecki\borowma01,32,NSH,D,42,0,2,2,1,103,0.8,0,0,0,0,2,0,0,28,0.0,553,13:10,55,143,0,0,
87,Robert Bortuzzo\borturo01,32,STL,D,50,1,3,4,-1,30,0.8,1,0,0,0,3,0,0,35,2.9,698,13:57,66,93,0,0,
88,Evan Bouchard\bouchev01,22,EDM,D,57,9,22,31,2,20,4.8,7,2,0,0,17,4,1,132,6.8,1148,20:08,76,55,0,0,
89,Madison Bowey\boweyma01,26,VAN,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,31,15:44,2,4,0,0,
90,Travis Boyd\boydtr01,28,ARI,C,49,12,15,27,-2,24,2.3,11,1,0,0,13,2,0,59,20.3,807,16:29,36,45,306,364,45.7
91,Brian Boyle\boylebr01,37,PIT,C,45,6,4,10,1,23,0.8,5,0,1,1,4,0,0,63,9.5,484,10:45,26,62,133,156,46.0
92,Tyler Bozak\bozakty01,35,STL,C,45,3,7,10,-10,14,-0.1,2,0,1,1,5,1,1,40,7.5,540,12:00,18,16,161,192,45.6
93,Erik Brannstrom\branner01,22,OTT,D,28,0,5,5,-11,22,0.3,0,0,0,0,3,2,0,36,0.0,528,18:51,28,23,0,0,
94,Derick Brassard\brassde01,34,PHI,C,26,5,8,13,6,8,1.5,4,1,0,0,7,1,0,39,12.8,363,13:57,3,48,124,119,51.0
95,Jesper Bratt\brattje01,23,NJD,W,53,19,36,55,4,16,5.9,16,3,0,6,23,13,0,141,13.5,902,17:01,17,17,0,3,0.0
96,Justin Braun\braunju01,34,PHI,D,57,5,10,15,3,32,3.4,5,0,0,0,10,0,0,63,7.9,1144,20:04,104,74,0,0,
97,Guillaume Brisebois\brisegu01,24,VAN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,4,4:13,1,0,0,0,
98,Philip Broberg\brobeph01,20,EDM,D,20,0,1,1,-7,8,-0.2,0,0,0,0,1,0,0,23,0.0,272,13:35,8,8,0,0,
99,T.J. Brodie\broditj01,31,TOR,D,58,4,15,19,14,22,3.9,4,0,0,0,12,1,2,49,8.2,1233,21:16,82,32,0,0,
100,Jonas Brodin\brodijo01,28,MIN,D,48,4,19,23,6,12,2.9,4,0,0,1,13,5,1,85,4.7,1131,23:34,83,32,0,0,
101,Jonny Brodzinski\brodzjo01,28,NYR,C,9,0,0,0,2,6,-0.1,0,0,0,0,0,0,0,9,0.0,97,10:45,4,3,17,16,51.5
102,Adam Brooks\brookad01,25,TOT,C,16,2,1,3,2,2,0.3,2,0,0,2,1,0,0,8,25.0,167,10:27,3,9,22,33,40.0
102,Adam Brooks\brookad01,25,VEG,C,7,2,0,2,3,2,0.4,2,0,0,2,0,0,0,5,40.0,77,10:59,2,2,17,12,58.6
102,Adam Brooks\brookad01,25,WPG,C,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,48,9:35,1,1,1,1,50.0
102,Adam Brooks\brookad01,25,MTL,C,4,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,0,,42,10:35,0,6,4,20,16.7
103,Connor Brown\brownco02,28,OTT,RW,43,7,25,32,-4,4,2.5,7,0,0,0,14,8,3,86,8.1,875,20:21,31,10,34,41,45.3
104,Dustin Brown\browndu01,37,LAK,RW,56,8,17,25,-5,20,1.8,7,1,0,0,15,2,0,132,6.1,843,15:03,16,78,2,7,22.2
105,Josh Brown\brownjo01,28,OTT,D,41,0,5,5,-8,32,0.6,0,0,0,0,5,0,0,37,0.0,572,13:57,46,94,0,0,
106,Logan Brown\brownlo01,23,STL,C,19,3,3,6,-1,4,0.4,3,0,0,0,2,1,0,20,15.0,217,11:26,8,12,15,31,32.6
107,Patrick Brown\brownpa02,29,PHI,C,28,3,3,6,-3,0,0.3,3,0,0,0,3,0,0,41,7.3,345,12:19,24,61,134,102,56.8
108,Jacob Bryson\brysoja01,24,BUF,D,50,1,8,9,-9,10,1.4,0,1,0,0,2,6,0,31,3.2,962,19:15,54,41,0,0,
109,Pavel Buchnevich\buchnpa01,26,STL,LW,50,19,27,46,18,32,5.3,13,5,1,3,16,9,2,143,13.3,897,17:57,7,34,11,23,32.4
110,Connor Bunnaman\bunnaco01,23,PHI,F,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,10,0.0,150,10:01,2,17,57,50,53.3
111,Michael Bunting\buntimi01,26,TOR,LW,58,20,27,47,20,38,5.6,18,2,0,2,25,2,0,127,15.7,907,15:38,14,58,3,7,30.0
112,Andre Burakovsky\burakan01,26,COL,LW,57,18,26,44,11,14,4.5,14,4,0,4,22,4,0,102,17.6,931,16:20,25,35,8,11,42.1
113,Brent Burns\burnsbr01,36,SJS,D,57,6,33,39,-19,28,5.5,3,3,0,0,22,10,1,149,4.0,1504,26:23,109,40,0,1,0.0
114,Kyle Burroughs\burroky01,26,VAN,D,36,1,4,5,-5,33,0.7,1,0,0,0,4,0,0,33,3.0,463,12:52,47,97,0,0,
115,Will Butcher\butchwi01,27,BUF,D,31,1,4,5,-10,0,0.5,1,0,0,0,2,2,0,30,3.3,524,16:54,29,9,0,0,
116,Quinton Byfield\byfiequ01,19,LAK,C,19,2,1,3,0,12,0.2,2,0,0,1,1,0,0,21,9.5,213,11:14,1,6,64,72,47.1
117,Bowen Byram\byrambo01,20,COL,D,18,5,6,11,3,6,1.8,4,1,0,2,6,0,0,35,14.3,352,19:34,15,27,0,0,
118,Paul Byron\byronpa01,32,MTL,LW,10,1,1,2,-6,0,-0.1,1,0,0,0,1,0,0,11,9.1,120,12:03,1,25,19,21,47.5
119,Drake Caggiula\caggidr01,27,BUF,LW,18,2,3,5,-4,4,0.2,2,0,0,1,2,1,0,23,8.7,263,14:38,7,17,1,3,25.0
120,Kyle Capobianco\capobky01,24,ARI,D,22,2,3,5,-5,14,0.6,1,1,0,1,2,1,0,18,11.1,337,15:18,21,16,0,0,
121,Michael Carcone\carcomi01,25,ARI,F,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,10,10:27,0,0,0,0,
122,Brandon Carlo\carlobr01,25,BOS,D,56,5,6,11,2,23,3.0,5,0,0,0,6,0,0,97,5.2,1102,19:41,79,98,0,0,
123,John Carlson\carlsjo01,32,WSH,D,56,10,39,49,11,16,7.7,6,4,0,1,23,13,3,135,7.4,1335,23:50,76,39,0,0,
124,Gabriel Carlsson\carlsga01,25,CBJ,D,26,2,4,6,3,4,1.2,2,0,0,0,4,0,0,10,20.0,323,12:25,25,20,0,0,
125,Lucas Carlsson\carlslu01,24,FLA,D,34,3,6,9,4,10,1.4,3,0,0,0,6,0,0,34,8.8,421,12:23,24,34,0,0,
126,Ryan Carpenter\carpery01,31,CHI,C,55,3,7,10,-9,34,-0.1,3,0,0,2,6,1,0,61,4.9,700,12:44,33,113,154,141,52.2
127,Sam Carrick\carrisa01,29,ANA,C,47,9,7,16,-5,61,1.5,9,0,0,0,7,0,0,63,14.3,524,11:09,15,84,132,143,48.0
128,Alexandre Carrier\carrial01,25,NSH,D,52,2,19,21,19,36,4.6,2,0,0,0,16,3,0,59,3.4,1070,20:35,81,48,0,1,0.0
129,William Carrier\carriwi01,27,VEG,LW,51,6,10,16,8,30,1.5,6,0,0,0,10,0,0,82,7.3,577,11:19,17,124,3,2,60.0
130,Jeff Carter\carteje01,37,PIT,C,53,14,18,32,-2,28,2.8,13,1,0,2,15,3,0,153,9.2,952,17:58,33,73,454,353,56.3
131,Jackson Cates\catesja01,24,PHI,C,11,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,8,12.5,100,9:05,3,4,20,13,60.6
132,Cole Caufield\caufico01,21,MTL,RW,42,8,15,23,-13,6,1.6,7,1,0,1,9,6,0,110,7.3,662,15:46,6,10,2,3,40.0
133,Cody Ceci\cecico01,28,EDM,D,54,3,13,16,2,8,2.8,3,0,0,0,13,0,0,77,3.9,1121,20:45,70,80,0,0,
134,Erik Cernak\cernaer01,24,TBL,D,30,1,6,7,6,25,1.6,1,0,0,0,6,0,0,49,2.0,576,19:13,41,93,0,0,
135,Thomas Chabot\chaboth01,25,OTT,D,52,5,27,32,1,24,5.5,5,0,0,1,16,11,0,151,3.3,1387,26:41,84,70,0,0,
136,Zdeno Chara\charazd01,44,NYI,D,46,0,8,8,3,73,2.2,0,0,0,0,8,0,0,55,0.0,838,18:13,58,92,0,0,
137,Jalen Chatfield\chatfja01,25,CAR,D,14,0,2,2,-1,6,0.4,0,0,0,0,2,0,0,24,0.0,211,15:04,10,30,0,0,
138,Ben Chiarot\chiarbe01,30,MTL,D,52,7,9,16,-19,42,2.0,6,1,0,1,8,1,0,94,7.4,1218,23:25,84,108,0,0,
139,Alex Chiasson\chiasal01,31,VAN,RW,46,6,5,11,-2,18,0.8,2,4,0,1,3,2,0,58,10.3,496,10:47,11,47,2,2,50.0
140,Yegor Chinakhov\chinaye01,20,CBJ,RW,48,7,5,12,-22,14,0.0,6,1,0,1,5,0,0,79,8.9,596,12:25,12,33,0,6,0.0
141,Declan Chisholm\chishde01,22,WPG,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,4,0.0,26,12:57,1,1,0,0,
142,Dennis Cholowski\cholode01,23,WSH,D,7,0,1,1,-4,2,-0.1,0,0,0,0,1,0,0,3,0.0,95,13:35,9,3,0,0,
143,Jake Christiansen\chrisja01,22,CBJ,D,4,1,0,1,2,0,0.4,1,0,0,0,0,0,0,2,50.0,42,10:33,4,7,0,0,
144,Jakob Chychrun\chychja01,23,ARI,D,46,7,14,21,-20,47,2.2,6,1,0,2,14,0,0,141,5.0,1074,23:22,66,51,0,0,
145,Filip Chytil\chytifi01,22,NYR,C,46,6,8,14,-3,12,1.0,6,0,0,1,7,1,0,92,6.5,585,12:43,19,15,111,152,42.2
146,Anthony Cirelli\cirelan01,24,TBL,C,52,13,18,31,17,58,3.1,10,3,0,3,16,2,0,100,13.0,997,19:10,49,53,306,344,47.1
147,Casey Cizikas\cizikca01,30,NYI,C,48,7,4,11,-1,30,0.8,7,0,0,2,4,0,0,59,11.9,671,13:59,30,103,349,295,54.2
148,Fredrik Claesson\claesfr01,29,TBL,D,9,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,89,9:52,6,12,0,0,
149,Kale Clague\claguka01,23,TOT,D,34,1,6,7,-10,16,0.6,1,0,0,0,3,3,0,25,4.0,566,16:38,21,10,0,0,
149,Kale Clague\claguka01,23,MTL,D,23,1,1,2,-8,14,0.0,1,0,0,0,1,0,0,19,5.3,370,16:04,12,10,0,0,
149,Kale Clague\claguka01,23,LAK,D,11,0,5,5,-2,2,0.5,0,0,0,0,2,3,0,6,0.0,196,17:50,9,0,0,0,
150,Kyle Clifford\cliffky01,31,TOT,LW,12,0,3,3,-5,7,-0.1,0,0,0,0,3,0,0,10,0.0,103,8:34,3,16,1,3,25.0
150,Kyle Clifford\cliffky01,31,TOR,LW,10,0,2,2,-4,7,-0.1,0,0,0,0,2,0,0,5,0.0,80,8:02,3,14,0,3,0.0
150,Kyle Clifford\cliffky01,31,STL,LW,2,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,5,0.0,22,11:13,0,2,1,0,100.0
151,Connor Clifton\cliftco01,26,BOS,D,41,1,3,4,-1,30,1.2,1,0,0,0,3,0,0,44,2.3,662,16:09,44,114,0,0,
152,Cal Clutterbuck\cluttca01,34,NYI,RW,55,6,8,14,-6,10,0.7,5,0,1,1,8,0,0,71,8.5,777,14:07,22,213,11,4,73.3
153,Dylan Coghlan\coghldy01,23,VEG,D,45,3,8,11,0,18,1.9,1,2,0,1,7,1,0,80,3.8,639,14:12,45,43,0,0,
154,Andrew Cogliano\coglian01,34,SJS,LW,51,4,10,14,-16,8,0.3,3,0,1,0,9,0,1,55,7.3,683,13:24,18,71,7,11,38.9
155,Ian Cole\coleia01,32,CAR,D,53,2,11,13,9,62,3.2,2,0,0,1,11,0,0,57,3.5,911,17:11,70,76,0,0,
156,Blake Coleman\colembl01,30,CGY,C,56,12,15,27,12,48,2.8,11,0,1,1,14,0,1,164,7.3,855,15:16,39,117,2,14,12.5
157,Ross Colton\coltoro01,25,TBL,C,54,10,14,24,1,16,2.1,10,0,0,1,10,4,0,104,9.6,704,13:02,27,103,254,233,52.2
158,Blake Comeau\comeabl01,35,DAL,RW,6,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,2,50.0,69,11:28,3,13,1,0,100.0
159,J.T. Compher\comphj.01,26,COL,LW,47,11,8,19,5,19,1.5,9,1,1,0,6,2,0,69,15.9,769,16:22,39,24,205,213,49.0
160,Max Comtois\comtoma01,23,ANA,LW,34,2,6,8,-9,32,-0.1,2,0,0,0,4,2,0,50,4.0,502,14:45,12,69,17,20,45.9
161,Kevin Connauton\connake01,31,TOT,D,27,0,0,0,1,2,0.2,0,0,0,0,0,0,0,21,0.0,335,12:24,23,50,0,0,
161,Kevin Connauton\connake01,31,PHI,D,14,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,7,0.0,179,12:46,14,22,0,0,
